date,"Andrews, TX","Atascosa, TX","Bailey, TX","Bell, TX","Bexar, TX","Borden, TX","Brazoria, TX","Brewster, TX","Brown, TX","Carson, TX","Cochran, TX","Collin, TX","Dallam, TX","Dallas, TX","Dawson, TX","Denton, TX","Eastland, TX","Ector, TX","El Paso, TX","Erath, TX","Fannin, TX","Fort Bend, TX","Gaines, TX","Garza, TX","Hale, TX","Hardeman, TX","Harris, TX","Harrison, TX","Hays, TX","Hockley, TX","Lamar, TX","Lamb, TX","Lubbock, TX","Lynn, TX","Martin, TX","McLennan, TX","Midland, TX","Parmer, TX","Potter, TX","Randall, TX","Reeves, TX","Rockwall, TX","Scurry, TX","Shackelford, TX","Tarrant, TX","Terry, TX","Travis, TX","Upshur, TX","Williamson, TX","Yoakum, TX"
2024-04-11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0
2025-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,7.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,8.0
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,10.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,211.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,8.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,12.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,226.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,5.0,1.0,10.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,13.0
2025-04-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,20.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,315.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,11.0,1.0,33.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,17.0
2025-04-11,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,7.0,0.0,21.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,355.0,2.0,5.0,0.0,4.0,0.0,0.0,3.0,11.0,1.0,38.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,18.0
2025-04-18,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,7.0,0.0,23.0,0.0,0.0,9.0,18.0,1.0,0.0,2.0,371.0,2.0,5.0,0.0,4.0,0.0,0.0,5.0,11.0,1.0,42.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,52.0,1.0,15.0,0.0,19.0
2025-04-22,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,7.0,0.0,23.0,0.0,0.0,10.0,20.0,1.0,0.0,2.0,386.0,2.0,5.0,0.0,4.0,0.0,0.0,5.0,11.0,1.0,47.0,2.0,3.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,54.0,1.0,15.0,0.0,19.0
2025-04-29,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,0.0,7.0,0.0,25.0,0.0,0.0,10.0,32.0,1.0,0.0,1.0,396.0,2.0,5.0,0.0,4.0,0.0,0.0,5.0,17.0,1.0,48.0,2.0,3.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,59.0,1.0,18.0,0.0,19.0
2025-05-02,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,1.0,7.0,0.0,26.0,1.0,2.0,11.0,38.0,1.0,0.0,1.0,396.0,2.0,5.0,1.0,4.0,0.0,0.0,6.0,17.0,1.0,50.0,2.0,3.0,0.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,59.0,2.0,5.0,0.0,19.0
2025-05-06,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,1.0,7.0,0.0,26.0,1.0,2.0,11.0,44.0,1.0,0.0,1.0,403.0,2.0,6.0,1.0,4.0,0.0,0.0,6.0,18.0,1.0,51.0,2.0,3.0,0.0,3.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,60.0,2.0,5.0,0.0,20.0
2025-05-09,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.0,1.0,7.0,0.0,26.0,1.0,2.0,11.0,50.0,1.0,0.0,1.0,403.0,2.0,6.0,1.0,4.0,0.0,0.0,6.0,19.0,1.0,51.0,2.0,3.0,0.0,3.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,60.0,2.0,5.0,0.0,20.0
2025-05-12,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,7.0,0.0,26.0,1.0,2.0,11.0,52.0,1.0,0.0,1.0,405.0,2.0,6.0,1.0,4.0,0.0,0.0,6.0,19.0,1.0,52.0,2.0,3.0,0.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,60.0,2.0,5.0,0.0,20.0
2025-05-23,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,7.0,0.0,26.0,2.0,2.0,11.0,56.0,1.0,0.0,1.0,408.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,20.0,1.0,53.0,2.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,60.0,2.0,5.0,0.0,20.0
2025-05-26,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,7.0,0.0,26.0,2.0,2.0,11.0,57.0,1.0,0.0,1.0,408.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,20.0,1.0,53.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,0.0,20.0
2025-05-30,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,7.0,0.0,26.0,2.0,2.0,11.0,57.0,1.0,0.0,1.0,409.0,2.0,5.0,1.0,4.0,3.0,1.0,6.0,20.0,1.0,53.0,2.0,3.0,8.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-06-03,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,0.0,27.0,2.0,2.0,11.0,57.0,1.0,0.0,1.0,411.0,2.0,5.0,1.0,3.0,1.0,1.0,6.0,21.0,1.0,53.0,2.0,3.0,8.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-06-10,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,0.0,27.0,2.0,2.0,11.0,58.0,1.0,0.0,1.0,411.0,2.0,5.0,1.0,3.0,1.0,1.0,6.0,21.0,1.0,53.0,2.0,3.0,8.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-06-24,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,1.0,26.0,2.0,2.0,12.0,58.0,1.0,1.0,1.0,413.0,2.0,5.0,1.0,3.0,1.0,1.0,6.0,23.0,1.0,53.0,2.0,3.0,9.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-07-01,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,1.0,26.0,2.0,2.0,12.0,59.0,1.0,1.0,1.0,414.0,2.0,5.0,1.0,3.0,1.0,1.0,6.0,23.0,1.0,53.0,2.0,3.0,9.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-07-29,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,1.0,26.0,2.0,2.0,12.0,59.0,1.0,4.0,1.0,414.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,28.0,1.0,53.0,2.0,3.0,9.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
2025-09-03,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,59.0,1.0,4.0,1.0,414.0,2.0,5.0,1.0,4.0,1.0,1.0,7.0,28.0,1.0,53.0,2.0,3.0,9.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,60.0,2.0,5.0,6.0,20.0
